Entity,Year,Week,Epi_Year,Week,M,F,New_Cases_Week,Calculated_Difference
Durango,2016,9,2016,9,5.0,9.0,0.0,1.0
Puebla,2016,11,2016,11,6.0,5.0,1.0,2.0
Sonora,2016,14,2016,14,16.0,28.0,4.0,5.0
Hidalgo,2016,15,2016,15,2.0,7.0,1.0,2.0
Aguascalientes,2016,16,2016,16,4.0,8.0,0.0,2.0
Jalisco,2016,17,2016,17,18.0,48.0,9.0,10.0
Aguascalientes,2016,19,2016,19,5.0,9.0,0.0,1.0
Veracruz,2016,19,2016,19,19.0,38.0,3.0,4.0
Aguascalientes,2016,20,2016,20,17.0,18.0,1.0,21.0
Baja California,2016,20,2016,20,43.0,44.0,6.0,46.0
Baja California Sur,2016,20,2016,20,11.0,6.0,0.0,8.0
Campeche,2016,20,2016,20,18.0,10.0,3.0,14.0
Chiapas,2016,20,2016,20,48.0,25.0,3.0,56.0
Chihuahua,2016,20,2016,20,90.0,100.0,17.0,105.0
Ciudad de México,2016,20,2016,20,93.0,124.0,12.0,141.0
Coahuila,2016,20,2016,20,7.0,9.0,0.0,12.0
Colima,2016,20,2016,20,36.0,28.0,3.0,57.0
Durango,2016,20,2016,20,48.0,36.0,5.0,61.0
Guanajuato,2016,20,2016,20,39.0,26.0,4.0,37.0
Guerrero,2016,20,2016,20,35.0,34.0,7.0,45.0
Hidalgo,2016,20,2016,20,37.0,30.0,5.0,57.0
Jalisco,2016,20,2016,20,174.0,167.0,21.0,270.0
Michoacán,2016,20,2016,20,50.0,44.0,3.0,75.0
Morelos,2016,20,2016,20,58.0,50.0,6.0,93.0
México,2016,20,2016,20,144.0,113.0,10.0,214.0
Nayarit,2016,20,2016,20,23.0,20.0,1.0,29.0
Nuevo León,2016,20,2016,20,52.0,46.0,9.0,35.0
Oaxaca,2016,20,2016,20,62.0,43.0,9.0,75.0
Puebla,2016,20,2016,20,56.0,63.0,5.0,101.0
Querétaro,2016,20,2016,20,18.0,15.0,2.0,25.0
Quintana Roo,2016,20,2016,20,15.0,9.0,0.0,17.0
San Luis Potosí,2016,20,2016,20,28.0,28.0,2.0,38.0
Sinaloa,2016,20,2016,20,129.0,147.0,9.0,187.0
Sonora,2016,20,2016,20,47.0,52.0,7.0,43.0
Tabasco,2016,20,2016,20,16.0,13.0,0.0,19.0
Tamaulipas,2016,20,2016,20,46.0,50.0,0.0,41.0
Tlaxcala,2016,20,2016,20,12.0,25.0,3.0,28.0
Veracruz,2016,20,2016,20,104.0,97.0,8.0,144.0
Yucatán,2016,20,2016,20,18.0,10.0,3.0,8.0
Zacatecas,2016,20,2016,20,15.0,6.0,1.0,16.0
Aguascalientes,2016,21,2016,21,5.0,9.0,0.0,-21.0
Baja California,2016,21,2016,21,19.0,27.0,3.0,-41.0
Baja California Sur,2016,21,2016,21,6.0,3.0,0.0,-8.0
Campeche,2016,21,2016,21,7.0,8.0,1.0,-13.0
Chiapas,2016,21,2016,21,10.0,7.0,0.0,-56.0
Chihuahua,2016,21,2016,21,45.0,60.0,16.0,-85.0
Ciudad de México,2016,21,2016,21,29.0,51.0,2.0,-137.0
Coahuila,2016,21,2016,21,2.0,2.0,0.0,-12.0
Colima,2016,21,2016,21,5.0,4.0,2.0,-55.0
Durango,2016,21,2016,21,7.0,16.0,0.0,-61.0
Guanajuato,2016,21,2016,21,14.0,20.0,4.0,-31.0
Guerrero,2016,21,2016,21,14.0,13.0,0.0,-42.0
Hidalgo,2016,21,2016,21,3.0,10.0,3.0,-54.0
Jalisco,2016,21,2016,21,25.0,57.0,5.0,-259.0
Michoacán,2016,21,2016,21,11.0,10.0,2.0,-73.0
Morelos,2016,21,2016,21,6.0,9.0,0.0,-93.0
México,2016,21,2016,21,19.0,29.0,2.0,-209.0
Nayarit,2016,21,2016,21,5.0,12.0,1.0,-26.0
Nuevo León,2016,21,2016,21,28.0,38.0,1.0,-32.0
Oaxaca,2016,21,2016,21,16.0,15.0,0.0,-74.0
Puebla,2016,21,2016,21,10.0,10.0,1.0,-99.0
Querétaro,2016,21,2016,21,2.0,6.0,0.0,-25.0
Quintana Roo,2016,21,2016,21,5.0,2.0,0.0,-17.0
San Luis Potosí,2016,21,2016,21,7.0,13.0,1.0,-36.0
Sinaloa,2016,21,2016,21,50.0,45.0,4.0,-181.0
Sonora,2016,21,2016,21,24.0,37.0,3.0,-38.0
Tabasco,2016,21,2016,21,6.0,7.0,2.0,-16.0
Tamaulipas,2016,21,2016,21,22.0,38.0,3.0,-36.0
Tlaxcala,2016,21,2016,21,3.0,6.0,0.0,-28.0
Veracruz,2016,21,2016,21,24.0,39.0,3.0,-138.0
Yucatán,2016,21,2016,21,8.0,16.0,3.0,-4.0
Zacatecas,2016,21,2016,21,5.0,1.0,0.0,-15.0
Aguascalientes,2016,22,2016,22,6.0,11.0,2.0,3.0
Chiapas,2016,29,2016,29,11.0,14.0,0.0,1.0
Nayarit,2016,30,2016,30,10.0,15.0,0.0,-3.0
Baja California,2016,31,2016,31,27.0,53.0,4.0,5.0
Coahuila,2016,31,2016,31,5.0,4.0,1.0,2.0
Morelos,2016,31,2016,31,4.0,6.0,1.0,-13.0
Sonora,2016,31,2016,31,37.0,50.0,3.0,2.0
Veracruz,2016,31,2016,31,42.0,61.0,5.0,6.0
Ciudad de México,2016,32,2016,32,39.0,78.0,6.0,3.0
Guerrero,2016,32,2016,32,18.0,21.0,0.0,1.0
Morelos,2016,32,2016,32,10.0,15.0,1.0,15.0
Veracruz,2016,32,2016,32,42.0,63.0,3.0,2.0
Aguascalientes,2016,33,2016,33,13.0,21.0,1.0,3.0
Quintana Roo,2016,33,2016,33,7.0,6.0,0.0,1.0
Puebla,2016,39,2016,39,16.0,16.0,0.0,2.0
Puebla,2016,40,2016,40,17.0,17.0,1.0,2.0
Aguascalientes,2016,45,2016,45,15.0,27.0,2.0,4.0
México,2016,45,2016,45,39.0,68.0,1.0,-1.0
Guanajuato,2016,46,2016,46,28.0,40.0,2.0,3.0
México,2016,46,2016,46,43.0,72.0,6.0,8.0
Tabasco,2016,46,2016,46,11.0,14.0,0.0,-1.0
San Luis Potosí,2016,49,2016,49,25.0,38.0,1.0,3.0
Guerrero,2016,50,2016,50,25.0,36.0,0.0,1.0
Veracruz,2016,52,2016,52,66.0,102.0,2.0,4.0
Jalisco,2017,1,2016,1,90.0,152.0,6.0,7.0
Sonora,2017,1,2016,1,62.0,82.0,2.0,5.0
Veracruz,2017,1,2016,1,68.0,106.0,5.0,6.0
Oaxaca,2017,5,2017,5,5.0,6.0,4.0,5.0
Veracruz,2017,8,2017,8,15.0,11.0,4.0,5.0
Guerrero,2017,9,2017,9,2.0,6.0,1.0,2.0
Puebla,2017,9,2017,9,4.0,2.0,1.0,2.0
Sonora,2017,9,2017,9,13.0,20.0,2.0,6.0
Veracruz,2017,9,2017,9,17.0,15.0,1.0,6.0
Aguascalientes,2017,11,2017,11,1.0,5.0,1.0,2.0
Veracruz,2017,12,2017,12,21.0,20.0,2.0,3.0
Oaxaca,2017,14,2017,14,11.0,22.0,2.0,3.0
Oaxaca,2017,16,2017,16,12.0,22.0,0.0,1.0
Sinaloa,2017,16,2017,16,42.0,36.0,2.0,5.0
Puebla,2017,18,2017,18,8.0,4.0,2.0,4.0
Sonora,2017,18,2017,18,26.0,37.0,3.0,8.0
Hidalgo,2017,19,2017,19,11.0,10.0,1.0,2.0
Sonora,2017,19,2017,19,29.0,38.0,3.0,4.0
Coahuila,2017,20,2017,20,13.0,17.0,0.0,1.0
México,2017,20,2017,20,20.0,29.0,2.0,3.0
Chihuahua,2017,21,2017,21,40.0,50.0,4.0,3.0
Sinaloa,2017,23,2017,23,55.0,48.0,2.0,4.0
Oaxaca,2017,24,2017,24,14.0,25.0,1.0,2.0
Morelos,2017,27,2017,27,7.0,27.0,3.0,4.0
Sinaloa,2017,27,2017,27,60.0,55.0,3.0,4.0
Puebla,2017,29,2017,29,15.0,10.0,0.0,1.0
Guanajuato,2017,31,2017,31,26.0,37.0,3.0,1.0
Chihuahua,2017,32,2017,32,55.0,78.0,3.0,4.0
Morelos,2017,32,2017,32,5.0,9.0,1.0,-26.0
Durango,2017,33,2017,33,19.0,13.0,1.0,2.0
Guerrero,2017,33,2017,33,13.0,14.0,0.0,2.0
Morelos,2017,33,2017,33,11.0,31.0,1.0,28.0
Puebla,2017,33,2017,33,18.0,14.0,1.0,0.0
Querétaro,2017,33,2017,33,5.0,3.0,0.0,1.0
Sinaloa,2017,33,2017,33,73.0,66.0,4.0,5.0
Baja California Sur,2017,34,2017,34,8.0,10.0,1.0,2.0
Ciudad de México,2017,34,2017,34,20.0,41.0,2.0,-50.0
Ciudad de México,2017,35,2017,35,29.0,69.0,4.0,37.0
Puebla,2017,35,2017,35,20.0,18.0,2.0,3.0
Tamaulipas,2017,35,2017,35,60.0,85.0,6.0,7.0
Puebla,2017,36,2017,36,20.0,17.0,0.0,-1.0
Puebla,2017,37,2017,37,21.0,20.0,1.0,4.0
Tamaulipas,2017,37,2017,37,63.0,93.0,4.0,3.0
Coahuila,2017,38,2017,38,25.0,36.0,0.0,1.0
Jalisco,2017,38,2017,38,71.0,126.0,11.0,-1.0
Sonora,2017,38,2017,38,43.0,80.0,3.0,7.0
Chihuahua,2017,39,2017,39,72.0,105.0,8.0,11.0
Oaxaca,2017,39,2017,39,18.0,34.0,1.0,2.0
Puebla,2017,39,2017,39,21.0,20.0,1.0,0.0
México,2017,40,2017,40,46.0,58.0,2.0,-4.0
Morelos,2017,41,2017,41,13.0,34.0,1.0,2.0
Puebla,2017,41,2017,41,22.0,21.0,1.0,2.0
Sonora,2017,41,2017,41,49.0,84.0,1.0,3.0
Guanajuato,2017,42,2017,42,29.0,46.0,0.0,1.0
Jalisco,2017,43,2017,43,88.0,140.0,1.0,4.0
Oaxaca,2017,43,2017,43,22.0,39.0,2.0,4.0
Tamaulipas,2017,43,2017,43,73.0,109.0,3.0,4.0
Durango,2017,45,2017,45,26.0,17.0,0.0,2.0
Sonora,2017,45,2017,45,53.0,94.0,2.0,3.0
Chihuahua,2017,47,2017,47,89.0,132.0,5.0,4.0
Quintana Roo,2017,50,2017,50,7.0,19.0,0.0,1.0
Sonora,2017,50,2017,50,56.0,102.0,1.0,3.0
Ciudad de México,2017,52,2017,52,52.0,106.0,3.0,6.0
Coahuila,2018,1,2017,1,36.0,52.0,3.0,4.0
Morelos,2018,1,2017,1,18.0,40.0,0.0,4.0
Sonora,2018,1,2017,1,59.0,111.0,5.0,10.0
Chihuahua,2018,7,2018,7,9.0,10.0,3.0,4.0
Guanajuato,2018,9,2018,9,3.0,5.0,2.0,3.0
Baja California,2018,10,2018,10,5.0,10.0,2.0,4.0
Ciudad de México,2018,11,2018,11,16.0,17.0,6.0,9.0
Oaxaca,2018,11,2018,11,4.0,6.0,1.0,2.0
Tamaulipas,2018,12,2018,12,24.0,20.0,5.0,7.0
Guerrero,2018,14,2018,14,3.0,2.0,0.0,1.0
Puebla,2018,15,2018,15,8.0,9.0,0.0,1.0
Guerrero,2018,16,2018,16,4.0,6.0,2.0,3.0
Sinaloa,2018,17,2018,17,33.0,42.0,5.0,7.0
Sonora,2018,18,2018,18,9.0,22.0,5.0,6.0
Chiapas,2018,19,2018,19,8.0,14.0,0.0,1.0
Michoacán,2018,21,2018,21,17.0,19.0,3.0,5.0
Quintana Roo,2018,21,2018,21,6.0,2.0,1.0,2.0
Sinaloa,2018,22,2018,22,37.0,46.0,0.0,1.0
Puebla,2018,23,2018,23,9.0,10.0,0.0,1.0
Chihuahua,2018,25,2018,25,28.0,56.0,2.0,3.0
Jalisco,2018,25,2018,25,77.0,70.0,7.0,8.0
Veracruz,2018,26,2018,26,33.0,58.0,5.0,4.0
Puebla,2018,28,2018,28,11.0,12.0,1.0,2.0
Ciudad de México,2018,29,2018,29,46.0,62.0,4.0,7.0
Sinaloa,2018,29,2018,29,57.0,59.0,6.0,9.0
Ciudad de México,2018,30,2018,30,46.0,73.0,5.0,11.0
Puebla,2018,31,2018,31,13.0,12.0,0.0,1.0
Sonora,2018,32,2018,32,15.0,38.0,0.0,1.0
Veracruz,2018,32,2018,32,50.0,74.0,4.0,5.0
Chihuahua,2018,33,2018,33,38.0,84.0,2.0,5.0
Morelos,2018,33,2018,33,3.0,7.0,0.0,-20.0
Sinaloa,2018,33,2018,33,65.0,68.0,4.0,5.0
Tamaulipas,2018,33,2018,33,54.0,66.0,3.0,6.0
Veracruz,2018,33,2018,33,51.0,76.0,4.0,3.0
Chihuahua,2018,34,2018,34,42.0,92.0,6.0,12.0
Morelos,2018,34,2018,34,10.0,22.0,1.0,22.0
Puebla,2018,34,2018,34,14.0,14.0,1.0,3.0
Veracruz,2018,34,2018,34,55.0,79.0,6.0,7.0
Ciudad de México,2018,35,2018,35,53.0,83.0,4.0,5.0
Tamaulipas,2018,35,2018,35,63.0,75.0,5.0,14.0
Puebla,2018,37,2018,37,14.0,18.0,2.0,3.0
Tamaulipas,2018,37,2018,37,66.0,79.0,2.0,3.0
Veracruz,2018,38,2018,38,62.0,85.0,2.0,1.0
México,2018,40,2018,40,33.0,45.0,2.0,3.0
Oaxaca,2018,40,2018,40,12.0,30.0,3.0,4.0
Puebla,2018,40,2018,40,17.0,20.0,0.0,1.0
Veracruz,2018,40,2018,40,65.0,89.0,2.0,3.0
Sinaloa,2018,41,2018,41,80.0,90.0,6.0,7.0
Aguascalientes,2018,42,2018,42,9.0,14.0,1.0,0.0
Chiapas,2018,43,2018,43,15.0,28.0,1.0,2.0
Puebla,2018,43,2018,43,19.0,21.0,0.0,1.0
Veracruz,2018,43,2018,43,68.0,96.0,4.0,3.0
Baja California,2018,44,2018,44,32.0,57.0,3.0,4.0
Veracruz,2018,44,2018,44,68.0,99.0,2.0,3.0
Sinaloa,2018,45,2018,45,90.0,100.0,8.0,9.0
Guerrero,2018,47,2018,47,8.0,17.0,0.0,1.0
Puebla,2018,47,2018,47,20.0,26.0,1.0,4.0
Oaxaca,2018,48,2018,48,21.0,34.0,0.0,-1.0
Veracruz,2018,48,2018,48,72.0,107.0,4.0,3.0
Puebla,2018,49,2018,49,20.0,27.0,0.0,1.0
México,2018,50,2018,50,42.0,57.0,3.0,4.0
Oaxaca,2018,50,2018,50,22.0,35.0,0.0,1.0
Veracruz,2018,50,2018,50,77.0,112.0,3.0,4.0
Sonora,2018,51,2018,51,36.0,71.0,5.0,6.0
Ciudad de México,2018,52,2018,52,85.0,149.0,7.0,9.0
Guerrero,2018,52,2018,52,9.0,19.0,0.0,1.0
Guanajuato,2019,1,2018,1,32.0,24.0,1.0,2.0
Morelos,2019,1,2018,1,18.0,34.0,1.0,2.0
Tamaulipas,2019,1,2018,1,81.0,102.0,2.0,3.0
Tabasco,2019,4,2019,4,1.0,2.0,0.0,1.0
Quintana Roo,2019,5,2019,5,0.0,1.0,0.0,1.0
Puebla,2019,7,2019,7,3.0,4.0,0.0,2.0
Puebla,2019,8,2019,8,4.0,7.0,3.0,4.0
Chihuahua,2019,11,2019,11,21.0,30.0,5.0,6.0
Guanajuato,2019,14,2019,14,7.0,10.0,1.0,2.0
Puebla,2019,14,2019,14,6.0,14.0,3.0,6.0
Ciudad de México,2019,15,2019,15,23.0,35.0,6.0,7.0
Puebla,2019,16,2019,16,7.0,16.0,2.0,3.0
Puebla,2019,17,2019,17,6.0,9.0,0.0,-8.0
