Entity,Year,Week,Epi_Year,Week,M,F,New_Cases_Week,Calculated_Difference
Guerrero,2021,7,2021,7,1.0,0.0,0.0,1.0
Michoacán,2021,9,2021,9,5.0,8.0,1.0,2.0
Jalisco,2021,12,2021,12,15.0,20.0,4.0,6.0
Tamaulipas,2021,16,2021,16,9.0,14.0,3.0,5.0
Chihuahua,2021,17,2021,17,22.0,15.0,0.0,3.0
Jalisco,2021,17,2021,17,26.0,35.0,9.0,10.0
Quintana Roo,2021,17,2021,17,2.0,0.0,0.0,1.0
Veracruz,2021,20,2021,20,19.0,26.0,3.0,2.0
Veracruz,2021,21,2021,21,20.0,27.0,1.0,2.0
Coahuila,2021,24,2021,24,23.0,5.0,4.0,3.0
Coahuila,2021,25,2021,25,23.0,7.0,1.0,2.0
Jalisco,2021,28,2021,28,45.0,63.0,5.0,8.0
Chihuahua,2021,29,2021,29,34.0,39.0,5.0,6.0
Jalisco,2021,29,2021,29,46.0,66.0,1.0,4.0
Puebla,2021,32,2021,32,5.0,13.0,1.0,3.0
Puebla,2021,33,2021,33,2.0,13.0,0.0,-3.0
Chihuahua,2021,34,2021,34,40.0,48.0,2.0,3.0
Colima,2021,34,2021,34,12.0,32.0,1.0,2.0
Tamaulipas,2021,36,2021,36,21.0,29.0,1.0,-1.0
Morelos,2021,37,2021,37,6.0,8.0,1.0,-2.0
Ciudad de México,2021,38,2021,38,22.0,31.0,1.0,-1.0
Morelos,2021,38,2021,38,7.0,10.0,0.0,3.0
Ciudad de México,2021,39,2021,39,22.0,33.0,1.0,2.0
Durango,2021,40,2021,40,10.0,11.0,3.0,4.0
Guerrero,2021,41,2021,41,11.0,10.0,0.0,2.0
Quintana Roo,2021,42,2021,42,10.0,7.0,1.0,3.0
Coahuila,2021,47,2021,47,37.0,23.0,0.0,-1.0
Puebla,2021,47,2021,47,11.0,16.0,0.0,5.0
Chihuahua,2021,48,2021,48,54.0,71.0,0.0,1.0
México,2021,48,2021,48,30.0,49.0,0.0,-2.0
Puebla,2021,48,2021,48,6.0,17.0,1.0,-4.0
Chihuahua,2021,49,2021,49,55.0,75.0,4.0,5.0
Coahuila,2021,50,2021,50,40.0,24.0,1.0,2.0
Coahuila,2021,51,2021,51,41.0,25.0,3.0,2.0
Jalisco,2022,1,2021,1,93.0,147.0,2.0,4.0
Ciudad de México,2022,4,2022,4,2.0,3.0,1.0,2.0
Sinaloa,2022,5,2022,5,4.0,3.0,4.0,6.0
Ciudad de México,2022,7,2022,7,3.0,5.0,2.0,3.0
Jalisco,2022,8,2022,8,11.0,15.0,3.0,4.0
Sonora,2022,8,2022,8,7.0,8.0,3.0,4.0
Coahuila,2022,9,2022,9,4.0,0.0,0.0,-5.0
Puebla,2022,9,2022,9,1.0,4.0,1.0,3.0
Ciudad de México,2022,10,2022,10,5.0,11.0,2.0,4.0
Puebla,2022,10,2022,10,2.0,2.0,1.0,-1.0
Coahuila,2022,11,2022,11,5.0,7.0,2.0,7.0
Coahuila,2022,12,2022,12,8.0,2.0,4.0,-2.0
Durango,2022,12,2022,12,2.0,10.0,1.0,3.0
Coahuila,2022,13,2022,13,8.0,10.0,2.0,8.0
Coahuila,2022,14,2022,14,8.0,4.0,1.0,-6.0
Yucatán,2022,14,2022,14,7.0,14.0,6.0,9.0
Jalisco,2022,16,2022,16,27.0,36.0,4.0,6.0
Nuevo León,2022,16,2022,16,13.0,24.0,1.0,2.0
Yucatán,2022,16,2022,16,8.0,22.0,3.0,5.0
Coahuila,2022,17,2022,17,9.0,14.0,3.0,10.0
Sonora,2022,18,2022,18,14.0,17.0,2.0,-1.0
Ciudad de México,2022,19,2022,19,10.0,20.0,0.0,1.0
Coahuila,2022,19,2022,19,11.0,7.0,2.0,-7.0
Coahuila,2022,20,2022,20,15.0,22.0,7.0,19.0
Jalisco,2022,20,2022,20,38.0,52.0,9.0,10.0
México,2022,21,2022,21,24.0,43.0,1.0,2.0
Coahuila,2022,22,2022,22,12.0,9.0,0.0,-18.0
Ciudad de México,2022,23,2022,23,12.0,28.0,4.0,5.0
Coahuila,2022,23,2022,23,18.0,29.0,6.0,26.0
Oaxaca,2022,23,2022,23,8.0,20.0,1.0,-4.0
Durango,2022,24,2022,24,3.0,21.0,0.0,2.0
Coahuila,2022,25,2022,25,21.0,32.0,1.0,2.0
Puebla,2022,25,2022,25,5.0,9.0,0.0,6.0
Coahuila,2022,26,2022,26,16.0,12.0,2.0,-25.0
Puebla,2022,26,2022,26,4.0,5.0,1.0,-5.0
Coahuila,2022,27,2022,27,23.0,32.0,0.0,27.0
México,2022,27,2022,27,31.0,52.0,1.0,2.0
Chihuahua,2022,28,2022,28,30.0,59.0,3.0,4.0
Oaxaca,2022,28,2022,28,12.0,30.0,0.0,5.0
Chihuahua,2022,29,2022,29,31.0,62.0,3.0,4.0
Coahuila,2022,30,2022,30,22.0,15.0,5.0,-22.0
Durango,2022,31,2022,31,4.0,26.0,0.0,1.0
Oaxaca,2022,31,2022,31,15.0,36.0,1.0,4.0
Jalisco,2022,32,2022,32,54.0,84.0,3.0,4.0
Puebla,2022,33,2022,33,6.0,13.0,0.0,8.0
Oaxaca,2022,34,2022,34,18.0,39.0,2.0,3.0
Puebla,2022,34,2022,34,4.0,8.0,1.0,-7.0
Sonora,2022,34,2022,34,23.0,35.0,2.0,3.0
Durango,2022,35,2022,35,6.0,27.0,2.0,3.0
Puebla,2022,35,2022,35,6.0,14.0,0.0,8.0
Tamaulipas,2022,35,2022,35,39.0,76.0,6.0,29.0
Puebla,2022,36,2022,36,5.0,8.0,1.0,-7.0
Quintana Roo,2022,36,2022,36,3.0,13.0,1.0,2.0
Yucatán,2022,36,2022,36,18.0,34.0,2.0,-10.0
Yucatán,2022,37,2022,37,21.0,43.0,0.0,12.0
Ciudad de México,2022,38,2022,38,29.0,54.0,0.0,-1.0
Durango,2022,39,2022,39,7.0,29.0,2.0,3.0
Coahuila,2022,41,2022,41,32.0,27.0,3.0,2.0
Oaxaca,2022,42,2022,42,26.0,49.0,0.0,1.0
Coahuila,2022,43,2022,43,46.0,47.0,1.0,29.0
Puebla,2022,43,2022,43,6.0,12.0,2.0,-2.0
Coahuila,2022,44,2022,44,40.0,29.0,3.0,-24.0
Puebla,2022,44,2022,44,10.0,12.0,0.0,4.0
Puebla,2022,46,2022,46,7.0,12.0,1.0,-3.0
Coahuila,2022,47,2022,47,42.0,31.0,1.0,4.0
Ciudad de México,2022,48,2022,48,40.0,60.0,0.0,1.0
Puebla,2022,48,2022,48,12.0,15.0,2.0,6.0
Sonora,2022,49,2022,49,31.0,53.0,2.0,3.0
Chihuahua,2022,50,2022,50,51.0,104.0,0.0,1.0
Puebla,2022,50,2022,50,15.0,24.0,2.0,12.0
Durango,2022,52,2022,52,9.0,35.0,0.0,1.0
Jalisco,2023,1,2022,1,100.0,149.0,8.0,10.0
Oaxaca,2023,1,2022,1,28.0,62.0,0.0,1.0
Puebla,2023,1,2022,1,13.0,16.0,0.0,-10.0
Chihuahua,2023,4,2023,4,2.0,4.0,2.0,4.0
Ciudad de México,2023,4,2023,4,2.0,6.0,1.0,-1.0
México,2023,6,2023,6,11.0,9.0,7.0,8.0
Durango,2023,7,2023,7,1.0,6.0,2.0,3.0
Jalisco,2023,7,2023,7,18.0,16.0,4.0,5.0
Chiapas,2023,8,2023,8,2.0,5.0,3.0,4.0
Chihuahua,2023,8,2023,8,10.0,14.0,1.0,3.0
Jalisco,2023,8,2023,8,21.0,19.0,5.0,6.0
Chihuahua,2023,9,2023,9,13.0,15.0,3.0,4.0
Guerrero,2023,9,2023,9,1.0,6.0,1.0,3.0
Oaxaca,2023,9,2023,9,2.0,6.0,1.0,2.0
Ciudad de México,2023,10,2023,10,6.0,8.0,1.0,2.0
México,2023,10,2023,10,18.0,18.0,7.0,8.0
Tamaulipas,2023,10,2023,10,15.0,21.0,4.0,5.0
Chiapas,2023,11,2023,11,3.0,11.0,2.0,3.0
Chihuahua,2023,11,2023,11,14.0,20.0,2.0,3.0
Chiapas,2023,12,2023,12,7.0,14.0,5.0,7.0
Chihuahua,2023,12,2023,12,14.0,24.0,3.0,4.0
Oaxaca,2023,12,2023,12,7.0,7.0,1.0,2.0
Chihuahua,2023,17,2023,17,21.0,31.0,3.0,5.0
México,2023,18,2023,18,29.0,38.0,4.0,5.0
Chihuahua,2023,20,2023,20,28.0,35.0,3.0,4.0
Durango,2023,20,2023,20,7.0,17.0,2.0,3.0
México,2023,20,2023,20,31.0,43.0,2.0,3.0
Puebla,2023,22,2023,22,7.0,9.0,0.0,2.0
Puebla,2023,23,2023,23,7.0,7.0,0.0,-2.0
Coahuila,2023,24,2023,24,13.0,20.0,3.0,4.0
Oaxaca,2023,24,2023,24,11.0,15.0,1.0,2.0
Puebla,2023,24,2023,24,7.0,9.0,0.0,2.0
Puebla,2023,25,2023,25,8.0,8.0,2.0,0.0
México,2023,27,2023,27,48.0,65.0,5.0,6.0
México,2023,29,2023,29,51.0,71.0,4.0,5.0
Oaxaca,2023,29,2023,29,13.0,20.0,0.0,3.0
Durango,2023,31,2023,31,12.0,24.0,4.0,2.0
Oaxaca,2023,32,2023,32,13.0,21.0,0.0,-1.0
Guanajuato,2023,33,2023,33,18.0,23.0,0.0,-2.0
Guerrero,2023,33,2023,33,8.0,20.0,1.0,2.0
México,2023,33,2023,33,62.0,83.0,6.0,7.0
Chiapas,2023,35,2023,35,18.0,29.0,2.0,4.0
Oaxaca,2023,35,2023,35,15.0,24.0,1.0,3.0
Querétaro,2023,35,2023,35,8.0,5.0,0.0,1.0
Chihuahua,2023,36,2023,36,56.0,68.0,1.0,2.0
Puebla,2023,36,2023,36,9.0,12.0,0.0,4.0
Ciudad de México,2023,37,2023,37,21.0,45.0,5.0,-6.0
Puebla,2023,37,2023,37,8.0,9.0,0.0,-4.0
Guerrero,2023,38,2023,38,8.0,23.0,1.0,-3.0
Oaxaca,2023,38,2023,38,18.0,30.0,1.0,2.0
Puebla,2023,38,2023,38,10.0,13.0,2.0,6.0
San Luis Potosí,2023,38,2023,38,10.0,29.0,1.0,0.0
Puebla,2023,39,2023,39,10.0,15.0,1.0,2.0
Coahuila,2023,40,2023,40,26.0,37.0,1.0,-1.0
México,2023,40,2023,40,91.0,121.0,15.0,16.0
Puebla,2023,40,2023,40,9.0,11.0,0.0,-5.0
Chihuahua,2023,42,2023,42,66.0,89.0,3.0,5.0
Coahuila,2023,42,2023,42,29.0,40.0,3.0,4.0
Tabasco,2023,42,2023,42,23.0,18.0,0.0,1.0
Baja California,2023,43,2023,43,26.0,61.0,2.0,5.0
Coahuila,2023,44,2023,44,33.0,47.0,4.0,8.0
Colima,2023,44,2023,44,19.0,43.0,0.0,1.0
Jalisco,2023,44,2023,44,110.0,128.0,3.0,4.0
Puebla,2023,44,2023,44,11.0,16.0,0.0,6.0
Coahuila,2023,45,2023,45,33.0,47.0,1.0,0.0
Jalisco,2023,45,2023,45,110.0,129.0,3.0,1.0
Puebla,2023,45,2023,45,11.0,12.0,2.0,-4.0
Sinaloa,2023,45,2023,45,71.0,98.0,2.0,3.0
Coahuila,2023,46,2023,46,34.0,49.0,2.0,3.0
Coahuila,2023,47,2023,47,34.0,49.0,1.0,0.0
Jalisco,2023,48,2023,48,117.0,199.0,66.0,67.0
Jalisco,2023,49,2023,49,118.0,141.0,6.0,-57.0
Tamaulipas,2023,52,2023,52,62.0,97.0,1.0,0.0
Coahuila,2024,1,2023,1,39.0,59.0,4.0,7.0
Puebla,2024,6,2024,6,3.0,0.0,0.0,1.0
Sinaloa,2024,6,2024,6,10.0,4.0,7.0,8.0
Oaxaca,2024,7,2024,7,6.0,6.0,4.0,5.0
Puebla,2024,7,2024,7,2.0,0.0,0.0,-1.0
Sinaloa,2024,8,2024,8,15.0,10.0,6.0,7.0
Chihuahua,2024,9,2024,9,14.0,15.0,3.0,6.0
Jalisco,2024,10,2024,10,11.0,13.0,3.0,4.0
Oaxaca,2024,10,2024,10,6.0,15.0,2.0,3.0
Puebla,2024,10,2024,10,4.0,1.0,0.0,1.0
Sinaloa,2024,10,2024,10,23.0,13.0,2.0,4.0
Puebla,2024,11,2024,11,3.0,1.0,0.0,-1.0
Oaxaca,2024,12,2024,12,10.0,21.0,5.0,8.0
Chihuahua,2024,13,2024,13,20.0,21.0,3.0,5.0
Nuevo León,2024,13,2024,13,7.0,12.0,2.0,3.0
Coahuila,2024,14,2024,14,8.0,17.0,0.0,1.0
Morelos,2024,14,2024,14,6.0,9.0,2.0,4.0
Chihuahua,2024,17,2024,17,26.0,29.0,2.0,3.0
Chihuahua,2024,18,2024,18,27.0,30.0,1.0,2.0
Sinaloa,2024,20,2024,20,33.0,37.0,5.0,6.0
Ciudad de México,2024,21,2024,21,12.0,36.0,3.0,4.0
Oaxaca,2024,21,2024,21,17.0,28.0,4.0,5.0
Puebla,2024,21,2024,21,15.0,6.0,8.0,10.0
Morelos,2024,22,2024,22,10.0,15.0,0.0,1.0
Puebla,2024,22,2024,22,14.0,6.0,1.0,-1.0
Sinaloa,2024,24,2024,24,38.0,45.0,1.0,2.0
Tamaulipas,2024,25,2024,25,35.0,45.0,1.0,2.0
Oaxaca,2024,27,2024,27,25.0,33.0,1.0,2.0
Sinaloa,2024,27,2024,27,39.0,46.0,0.0,1.0
Sonora,2024,27,2024,27,10.0,27.0,0.0,1.0
Puebla,2024,29,2024,29,18.0,8.0,1.0,4.0
Aguascalientes,2024,30,2024,30,5.0,7.0,0.0,-1.0
Chihuahua,2024,30,2024,30,37.0,61.0,5.0,6.0
Durango,2024,30,2024,30,12.0,22.0,2.0,-2.0
Puebla,2024,30,2024,30,15.0,8.0,0.0,-3.0
Baja California,2024,31,2024,31,18.0,28.0,2.0,5.0
Jalisco,2024,31,2024,31,40.0,71.0,6.0,7.0
Durango,2024,32,2024,32,15.0,24.0,2.0,3.0
Sinaloa,2024,32,2024,32,45.0,56.0,1.0,2.0
México,2024,33,2024,33,16.0,21.0,2.0,3.0
Oaxaca,2024,33,2024,33,28.0,37.0,1.0,2.0
Sonora,2024,33,2024,33,13.0,37.0,3.0,4.0
Jalisco,2024,34,2024,34,43.0,78.0,3.0,4.0
México,2024,34,2024,34,18.0,22.0,2.0,3.0
Quintana Roo,2024,34,2024,34,6.0,7.0,0.0,1.0
Sonora,2024,34,2024,34,13.0,38.0,0.0,1.0
Yucatán,2024,35,2024,35,7.0,11.0,0.0,1.0
Ciudad de México,2024,36,2024,36,18.0,53.0,2.0,4.0
San Luis Potosí,2024,36,2024,36,18.0,33.0,1.0,2.0
Sinaloa,2024,36,2024,36,47.0,65.0,4.0,5.0
Michoacán,2024,37,2024,37,12.0,42.0,1.0,2.0
Ciudad de México,2024,38,2024,38,19.0,53.0,1.0,0.0
México,2024,38,2024,38,20.0,24.0,0.0,1.0
Oaxaca,2024,38,2024,38,28.0,43.0,4.0,5.0
Coahuila,2024,39,2024,39,19.0,29.0,1.0,4.0
Durango,2024,40,2024,40,19.0,31.0,3.0,6.0
Nuevo León,2024,40,2024,40,32.0,52.0,3.0,4.0
Ciudad de México,2024,42,2024,42,22.0,55.0,0.0,1.0
Puebla,2024,42,2024,42,21.0,11.0,0.0,5.0
Puebla,2024,43,2024,43,19.0,11.0,3.0,-2.0
Puebla,2024,44,2024,44,22.0,12.0,0.0,4.0
Puebla,2024,45,2024,45,19.0,11.0,0.0,-4.0
Sinaloa,2024,47,2024,47,62.0,82.0,1.0,2.0
Nuevo León,2024,48,2024,48,39.0,60.0,0.0,1.0
Puebla,2024,49,2024,49,24.0,13.0,2.0,7.0
Sinaloa,2024,49,2024,49,65.0,87.0,3.0,4.0
Chihuahua,2024,50,2024,50,61.0,112.0,4.0,2.0
Durango,2024,50,2024,50,27.0,37.0,2.0,3.0
Puebla,2024,50,2024,50,20.0,12.0,0.0,-5.0
Tamaulipas,2024,50,2024,50,67.0,107.0,0.0,1.0
Puebla,2024,51,2024,51,21.0,12.0,0.0,1.0
Oaxaca,2024,52,2024,52,32.0,51.0,0.0,1.0
