Año,Semana,Entidad,Ax_003,Valor
2014,sem03,Oaxaca,Sem.,1
2014,sem03,Oaxaca,H,1
2014,sem03,Oaxaca,M,0
2014,sem03,Puebla,Sem.,0
2014,sem03,Puebla,H,0
2014,sem03,Puebla,M,0
2014,sem03,Querétaro,Sem.,0
2014,sem03,Querétaro,H,0
2014,sem03,Querétaro,M,0
2014,sem03,Quintana Roo,Sem.,1
2014,sem03,Quintana Roo,H,1
2014,sem03,Quintana Roo,M,0
2014,sem03,San Luis Potosí,Sem.,0
2014,sem03,San Luis Potosí,H,0
2014,sem03,San Luis Potosí,M,0
2014,sem03,Sinaloa,Sem.,2
2014,sem03,Sinaloa,H,0
2014,sem03,Sinaloa,M,3
2014,sem03,Sonora,Sem.,4
2014,sem03,Sonora,H,3
2014,sem03,Sonora,M,1
2014,sem03,Tabasco,Sem.,0
2014,sem03,Tabasco,H,0
2014,sem03,Tabasco,M,0
2014,sem03,Tamaulipas,Sem.,2
2014,sem03,Tamaulipas,H,1
2014,sem03,Tamaulipas,M,1
2014,sem03,Tlaxcala,Sem.,0
2014,sem03,Tlaxcala,H,0
2014,sem03,Tlaxcala,M,0
2014,sem03,Veracruz,Sem.,1
2014,sem03,Veracruz,H,1
2014,sem03,Veracruz,M,0
2014,sem03,Yucatán,Sem.,2
2014,sem03,Yucatán,H,3
2014,sem03,Yucatán,M,1
2014,sem03,Zacatecas,Sem.,0
2014,sem03,Zacatecas,H,0
2014,sem03,Zacatecas,M,0
2014,sem04,Aguascalientes,Sem.,0
2014,sem04,Aguascalientes,H,0
2014,sem04,Aguascalientes,M,0
2014,sem04,Baja California,Sem.,1
2014,sem04,Baja California,H,1
2014,sem04,Baja California,M,6
2014,sem04,Baja California Sur,Sem.,0
2014,sem04,Baja California Sur,H,0
2014,sem04,Baja California Sur,M,0
2014,sem04,Campeche,Sem.,1
2014,sem04,Campeche,H,1
2014,sem04,Campeche,M,0
2014,sem04,Coahuila,Sem.,0
2014,sem04,Coahuila,H,0
2014,sem04,Coahuila,M,0
2014,sem04,Colima,Sem.,0
2014,sem04,Colima,H,0
2014,sem04,Colima,M,0
2014,sem04,Chiapas,Sem.,1
2014,sem04,Chiapas,H,1
2014,sem04,Chiapas,M,0
2014,sem04,Chihuahua,Sem.,2
2014,sem04,Chihuahua,H,1
2014,sem04,Chihuahua,M,3
2014,sem04,Ciudad de México,Sem.,0
2014,sem04,Ciudad de México,H,1
2014,sem04,Ciudad de México,M,0
2014,sem04,Durango,Sem.,0
2014,sem04,Durango,H,0
2014,sem04,Durango,M,0
2014,sem04,Guanajuato,Sem.,0
2014,sem04,Guanajuato,H,0
2014,sem04,Guanajuato,M,1
2014,sem04,Guerrero,Sem.,1
2014,sem04,Guerrero,H,0
2014,sem04,Guerrero,M,1
2014,sem04,Hidalgo,Sem.,0
2014,sem04,Hidalgo,H,0
2014,sem04,Hidalgo,M,0
2014,sem04,Jalisco,Sem.,1
2014,sem04,Jalisco,H,0
2014,sem04,Jalisco,M,1
2014,sem04,México,Sem.,11
2014,sem04,México,H,5
2014,sem04,México,M,6
2014,sem04,Michoacán,Sem.,2
2014,sem04,Michoacán,H,2
2014,sem04,Michoacán,M,2
2014,sem04,Morelos,Sem.,0
2014,sem04,Morelos,H,0
2014,sem04,Morelos,M,0
2014,sem04,Nayarit,Sem.,0
2014,sem04,Nayarit,H,0
2014,sem04,Nayarit,M,2
2014,sem04,Nuevo León,Sem.,6
2014,sem04,Nuevo León,H,4
2014,sem04,Nuevo León,M,5
2014,sem04,Oaxaca,Sem.,1
2014,sem04,Oaxaca,H,2
2014,sem04,Oaxaca,M,0
2014,sem04,Puebla,Sem.,0
2014,sem04,Puebla,H,0
2014,sem04,Puebla,M,0
2014,sem04,Querétaro,Sem.,0
2014,sem04,Querétaro,H,0
2014,sem04,Querétaro,M,0
2014,sem04,Quintana Roo,Sem.,1
2014,sem04,Quintana Roo,H,1
2014,sem04,Quintana Roo,M,1
2014,sem04,San Luis Potosí,Sem.,1
2014,sem04,San Luis Potosí,H,1
2014,sem04,San Luis Potosí,M,0
2014,sem04,Sinaloa,Sem.,6
2014,sem04,Sinaloa,H,3
2014,sem04,Sinaloa,M,6
2014,sem04,Sonora,Sem.,3
2014,sem04,Sonora,H,6
2014,sem04,Sonora,M,1
2014,sem04,Tabasco,Sem.,1
2014,sem04,Tabasco,H,0
2014,sem04,Tabasco,M,1
2014,sem04,Tamaulipas,Sem.,5
2014,sem04,Tamaulipas,H,2
2014,sem04,Tamaulipas,M,5
2014,sem04,Tlaxcala,Sem.,0
2014,sem04,Tlaxcala,H,0
2014,sem04,Tlaxcala,M,0
2014,sem04,Veracruz,Sem.,2
2014,sem04,Veracruz,H,1
2014,sem04,Veracruz,M,2
2014,sem04,Yucatán,Sem.,1
2014,sem04,Yucatán,H,3
2014,sem04,Yucatán,M,2
2014,sem04,Zacatecas,Sem.,0
2014,sem04,Zacatecas,H,0
2014,sem04,Zacatecas,M,0
2014,sem05,Aguascalientes,Sem.,0
2014,sem05,Aguascalientes,H,0
2014,sem05,Aguascalientes,M,0
2014,sem05,Baja California,Sem.,3
2014,sem05,Baja California,H,1
2014,sem05,Baja California,M,9
2014,sem05,Baja California Sur,Sem.,0
2014,sem05,Baja California Sur,H,0
2014,sem05,Baja California Sur,M,0
2014,sem05,Campeche,Sem.,1
2014,sem05,Campeche,H,1
2014,sem05,Campeche,M,1
2014,sem05,Coahuila,Sem.,0
2014,sem05,Coahuila,H,0
2014,sem05,Coahuila,M,0
2014,sem05,Colima,Sem.,2
2014,sem05,Colima,H,0
2014,sem05,Colima,M,2
2014,sem05,Chiapas,Sem.,1
2014,sem05,Chiapas,H,1
2014,sem05,Chiapas,M,1
2014,sem05,Chihuahua,Sem.,2
2014,sem05,Chihuahua,H,1
2014,sem05,Chihuahua,M,5
2014,sem05,Ciudad de México,Sem.,4
2014,sem05,Ciudad de México,H,3
2014,sem05,Ciudad de México,M,2
2014,sem05,Durango,Sem.,0
2014,sem05,Durango,H,0
2014,sem05,Durango,M,0
2014,sem05,Guanajuato,Sem.,0
2014,sem05,Guanajuato,H,0
2014,sem05,Guanajuato,M,1
2014,sem05,Guerrero,Sem.,0
2014,sem05,Guerrero,H,0
2014,sem05,Guerrero,M,1
2014,sem05,Hidalgo,Sem.,0
2014,sem05,Hidalgo,H,0
2014,sem05,Hidalgo,M,0
2014,sem05,Jalisco,Sem.,0
2014,sem05,Jalisco,H,0
2014,sem05,Jalisco,M,1
2014,sem05,México,Sem.,6
2014,sem05,México,H,10
2014,sem05,México,M,7
2014,sem05,Michoacán,Sem.,1
2014,sem05,Michoacán,H,3
2014,sem05,Michoacán,M,2
2014,sem05,Morelos,Sem.,1
2014,sem05,Morelos,H,0
2014,sem05,Morelos,M,1
2014,sem05,Nayarit,Sem.,1
2014,sem05,Nayarit,H,0
2014,sem05,Nayarit,M,3
2014,sem05,Nuevo León,Sem.,3
2014,sem05,Nuevo León,H,6
2014,sem05,Nuevo León,M,6
2014,sem05,Oaxaca,Sem.,1
2014,sem05,Oaxaca,H,3
2014,sem05,Oaxaca,M,0
2014,sem05,Puebla,Sem.,0
2014,sem05,Puebla,H,0
2014,sem05,Puebla,M,0
2014,sem05,Querétaro,Sem.,0
2014,sem05,Querétaro,H,0
2014,sem05,Querétaro,M,0
2014,sem05,Quintana Roo,Sem.,0
2014,sem05,Quintana Roo,H,1
2014,sem05,Quintana Roo,M,1
2014,sem05,San Luis Potosí,Sem.,1
2014,sem05,San Luis Potosí,H,1
2014,sem05,San Luis Potosí,M,1
2014,sem05,Sinaloa,Sem.,3
2014,sem05,Sinaloa,H,4
2014,sem05,Sinaloa,M,8
2014,sem05,Sonora,Sem.,5
2014,sem05,Sonora,H,8
2014,sem05,Sonora,M,4
2014,sem05,Tabasco,Sem.,0
2014,sem05,Tabasco,H,0
2014,sem05,Tabasco,M,1
2014,sem05,Tamaulipas,Sem.,1
2014,sem05,Tamaulipas,H,2
2014,sem05,Tamaulipas,M,6
2014,sem05,Tlaxcala,Sem.,0
2014,sem05,Tlaxcala,H,0
2014,sem05,Tlaxcala,M,0
2014,sem05,Veracruz,Sem.,0
2014,sem05,Veracruz,H,1
2014,sem05,Veracruz,M,2
2014,sem05,Yucatán,Sem.,0
2014,sem05,Yucatán,H,3
2014,sem05,Yucatán,M,2
2014,sem05,Zacatecas,Sem.,0
2014,sem05,Zacatecas,H,0
2014,sem05,Zacatecas,M,0
2014,sem06,Aguascalientes,Sem.,0
2014,sem06,Aguascalientes,H,0
2014,sem06,Aguascalientes,M,0
2014,sem06,Baja California,Sem.,4
2014,sem06,Baja California,H,2
2014,sem06,Baja California,M,12
2014,sem06,Baja California Sur,Sem.,0
2014,sem06,Baja California Sur,H,0
2014,sem06,Baja California Sur,M,0
2014,sem06,Campeche,Sem.,3
2014,sem06,Campeche,H,2
2014,sem06,Campeche,M,3
2014,sem06,Coahuila,Sem.,1
2014,sem06,Coahuila,H,2
2014,sem06,Coahuila,M,0
2014,sem06,Colima,Sem.,0
2014,sem06,Colima,H,0
2014,sem06,Colima,M,2
2014,sem06,Chiapas,Sem.,2
2014,sem06,Chiapas,H,2
2014,sem06,Chiapas,M,2
2014,sem06,Chihuahua,Sem.,0
2014,sem06,Chihuahua,H,1
2014,sem06,Chihuahua,M,5
2014,sem06,Ciudad de México,Sem.,2
2014,sem06,Ciudad de México,H,4
2014,sem06,Ciudad de México,M,3
2014,sem06,Durango,Sem.,1
2014,sem06,Durango,H,1
2014,sem06,Durango,M,0
2014,sem06,Guanajuato,Sem.,0
2014,sem06,Guanajuato,H,0
2014,sem06,Guanajuato,M,1
2014,sem06,Guerrero,Sem.,3
2014,sem06,Guerrero,H,1
2014,sem06,Guerrero,M,3
2014,sem06,Hidalgo,Sem.,0
2014,sem06,Hidalgo,H,0
2014,sem06,Hidalgo,M,0
2014,sem06,Jalisco,Sem.,0
2014,sem06,Jalisco,H,0
2014,sem06,Jalisco,M,1
2014,sem06,México,Sem.,4
2014,sem06,México,H,10
2014,sem06,México,M,11
2014,sem06,Michoacán,Sem.,5
2014,sem06,Michoacán,H,6
2014,sem06,Michoacán,M,4
2014,sem06,Morelos,Sem.,0
2014,sem06,Morelos,H,0
2014,sem06,Morelos,M,1
2014,sem06,Nayarit,Sem.,2
2014,sem06,Nayarit,H,0
2014,sem06,Nayarit,M,5
2014,sem06,Nuevo León,Sem.,4
2014,sem06,Nuevo León,H,6
2014,sem06,Nuevo León,M,10
2014,sem06,Oaxaca,Sem.,1
2014,sem06,Oaxaca,H,3
