Fecha,Año,Semana,Real,Predic
1/2/2023,2023,1,35,31
1/9/2023,2023,2,39,33
1/16/2023,2023,3,60,50
1/23/2023,2023,4,45,49
1/30/2023,2023,5,59,53
2/6/2023,2023,6,53,41
2/13/2023,2023,7,48,46
2/20/2023,2023,8,48,52
2/27/2023,2023,9,60,52
3/6/2023,2023,10,66,54
3/13/2023,2023,11,62,53
3/20/2023,2023,12,54,50
3/27/2023,2023,13,50,45
4/3/2023,2023,14,52,50
4/10/2023,2023,15,28,44
4/17/2023,2023,16,52,52
4/24/2023,2023,17,62,40
5/1/2023,2023,18,50,53
5/8/2023,2023,19,44,44
5/15/2023,2023,20,44,52
5/22/2023,2023,21,39,51
5/29/2023,2023,22,46,53
6/5/2023,2023,23,46,47
6/12/2023,2023,24,54,45
6/19/2023,2023,25,59,44
6/26/2023,2023,26,45,49
7/3/2023,2023,27,60,49
7/10/2023,2023,28,57,45
7/17/2023,2023,29,48,47
7/24/2023,2023,30,44,47
7/31/2023,2023,31,47,44
8/7/2023,2023,32,46,40
8/14/2023,2023,33,50,50
8/21/2023,2023,34,58,52
8/28/2023,2023,35,62,51
9/4/2023,2023,36,60,49
9/11/2023,2023,37,54,44
9/18/2023,2023,38,50,37
9/25/2023,2023,39,58,44
10/2/2023,2023,40,60,44
10/9/2023,2023,41,61,47
10/16/2023,2023,42,62,49
10/23/2023,2023,43,58,43
10/30/2023,2023,44,58,44
11/6/2023,2023,45,47,41
11/13/2023,2023,46,36,43
11/20/2023,2023,47,54,42
11/27/2023,2023,48,38,39
12/4/2023,2023,49,43,38
12/11/2023,2023,50,38,40
12/18/2023,2023,51,32,36
12/25/2023,2023,52,36,29
1/1/2024,2024,1,28,25
1/8/2024,2024,2,31,28
1/15/2024,2024,3,48,44
1/22/2024,2024,4,32,45
1/29/2024,2024,5,34,48
2/5/2024,2024,6,50,40
2/12/2024,2024,7,49,41
2/19/2024,2024,8,52,43
2/26/2024,2024,9,58,45
3/4/2024,2024,10,49,47
3/11/2024,2024,11,53,46
3/18/2024,2024,12,54,47
3/25/2024,2024,13,50,41
4/1/2024,2024,14,41,46
4/8/2024,2024,15,61,38
4/15/2024,2024,16,49,48
4/22/2024,2024,17,49,37
4/29/2024,2024,18,41,46
5/6/2024,2024,19,30,44
5/13/2024,2024,20,36,43
5/20/2024,2024,21,57,46
5/27/2024,2024,22,38,43
6/3/2024,2024,23,34,44
6/10/2024,2024,24,36,37
6/17/2024,2024,25,37,42
6/24/2024,2024,26,34,44
7/1/2024,2024,27,34,46
7/8/2024,2024,28,30,40
7/15/2024,2024,29,36,42
7/22/2024,2024,30,32,43
7/29/2024,2024,31,40,39
8/5/2024,2024,32,42,38
8/12/2024,2024,33,43,41
8/19/2024,2024,34,32,47
8/26/2024,2024,35,40,43
9/2/2024,2024,36,40,45
9/9/2024,2024,37,34,37
9/16/2024,2024,38,42,37
9/23/2024,2024,39,46,39
9/30/2024,2024,40,44,42
10/7/2024,2024,41,38,41
10/14/2024,2024,42,47,45
10/21/2024,2024,43,48,38
10/28/2024,2024,44,41,37
11/4/2024,2024,45,38,39
11/11/2024,2024,46,46,36
11/18/2024,2024,47,46,39
11/25/2024,2024,48,29,34
12/2/2024,2024,49,48,33
12/9/2024,2024,50,44,34
12/16/2024,2024,51,30,33
12/23/2024,2024,52,37,30
12/30/2024,2024,1,25,22
1/6/2025,2025,2,23,26
1/13/2025,2025,3,35,36
1/20/2025,2025,4,38,40
1/27/2025,2025,5,40,41
2/3/2025,2025,6,57,37
2/10/2025,2025,7,48,35
2/17/2025,2025,8,63,38
2/24/2025,2025,9,59,41
3/3/2025,2025,10,45,41
3/10/2025,2025,11,43,39
3/17/2025,2025,12,57,43
3/24/2025,2025,13,36,37
3/31/2025,2025,14,26,42
4/7/2025,2025,15,28,35
4/14/2025,2025,16,31,42
4/21/2025,2025,17,23,33
4/28/2025,2025,18,47,36
5/5/2025,2025,19,42,41
5/12/2025,2025,20,44,34
5/19/2025,2025,21,38,44
5/26/2025,2025,22,30,38
6/2/2025,2025,23,48,41
6/9/2025,2025,24,30,31
6/16/2025,2025,25,37,38
6/23/2025,2025,26,35,38
6/30/2025,2025,27,42,41
7/7/2025,2025,28,41,38
7/14/2025,2025,29,52,36
7/21/2025,2025,30,37,37
7/28/2025,2025,31,29,32
8/4/2025,2025,32,38,34
8/11/2025,2025,33,35,32
8/18/2025,2025,34,45,44
8/25/2025,2025,35,49,38
9/1/2025,2025,36,38,42
9/8/2025,2025,37,32,32
9/15/2025,2025,38,37,34
9/22/2025,2025,39,26,31
9/29/2025,2025,40,37,38
10/6/2025,2025,41,34,36
10/13/2025,2025,42,49,40
10/20/2025,2025,43,45,34
10/27/2025,2025,44,,31
11/3/2025,2025,45,,34
11/10/2025,2025,46,,29
11/17/2025,2025,47,,36
11/24/2025,2025,48,,32
12/1/2025,2025,49,,30
12/8/2025,2025,50,,30
12/15/2025,2025,51,,29
12/22/2025,2025,52,,27
12/29/2025,2025,1,,18
1/5/2026,2026,2,,24
1/12/2026,2026,3,,28
1/19/2026,2026,4,,36
1/26/2026,2026,5,,34
2/2/2026,2026,6,,33
2/9/2026,2026,7,,28
2/16/2026,2026,8,,34
2/23/2026,2026,9,,37
3/2/2026,2026,10,,36
3/9/2026,2026,11,,36
3/16/2026,2026,12,,38
3/23/2026,2026,13,,32
3/30/2026,2026,14,,35
4/6/2026,2026,15,,32
4/13/2026,2026,16,,35
4/20/2026,2026,17,,31
4/27/2026,2026,18,,29
5/4/2026,2026,19,,37
5/11/2026,2026,20,,27
5/18/2026,2026,21,,39
5/25/2026,2026,22,,33
6/1/2026,2026,23,,38
6/8/2026,2026,24,,28
6/15/2026,2026,25,,33
6/22/2026,2026,26,,31
6/29/2026,2026,27,,35
7/6/2026,2026,28,,33
7/13/2026,2026,29,,30
7/20/2026,2026,30,,34
7/27/2026,2026,31,,29
8/3/2026,2026,32,,30
8/10/2026,2026,33,,26
8/17/2026,2026,34,,38
8/24/2026,2026,35,,33
8/31/2026,2026,36,,37
9/7/2026,2026,37,,29
9/14/2026,2026,38,,30
9/21/2026,2026,39,,25
9/28/2026,2026,40,,32
10/5/2026,2026,41,,29
10/12/2026,2026,42,,33
10/19/2026,2026,43,,31
10/26/2026,2026,44,,28
11/2/2026,2026,45,,30
11/9/2026,2026,46,,24
11/16/2026,2026,47,,31
11/23/2026,2026,48,,27
11/30/2026,2026,49,,26
12/7/2026,2026,50,,27
12/14/2026,2026,51,,25
12/21/2026,2026,52,,24
12/28/2026,2026,53,,15
