Year,Week,Date,Epi_Year,New_Cases
2024,14,2024-04-01,2024,41.0
2024,15,2024-04-08,2024,61.0
2024,16,2024-04-15,2024,49.0
2024,17,2024-04-22,2024,49.0
2024,18,2024-04-29,2024,41.0
2024,19,2024-05-06,2024,30.5
2024,20,2024-05-13,2024,35.5
2024,21,2024-05-20,2024,57.0
2024,22,2024-05-27,2024,38.0
2024,23,2024-06-03,2024,34.0
2024,24,2024-06-10,2024,36.0
2024,25,2024-06-17,2024,37.0
2024,26,2024-06-24,2024,34.0
2024,27,2024-07-01,2024,34.5
2024,28,2024-07-08,2024,30.5
2024,29,2024-07-15,2024,36.0
2024,30,2024-07-22,2024,32.5
2024,31,2024-07-29,2024,40.5
2024,32,2024-08-05,2024,42.5
2024,33,2024-08-12,2024,43.0
2024,34,2024-08-19,2024,32.5
2024,35,2024-08-26,2024,39.5
2024,36,2024-09-02,2024,40.5
2024,37,2024-09-09,2024,34.0
2024,38,2024-09-16,2024,42.5
2024,39,2024-09-23,2024,46.5
2024,40,2024-09-30,2024,43.5
2024,41,2024-10-07,2024,37.5
2024,42,2024-10-14,2024,47.0
2024,43,2024-10-21,2024,48.5
2024,44,2024-10-28,2024,41.0
2024,45,2024-11-04,2024,38.0
2024,46,2024-11-11,2024,46.5
2024,47,2024-11-18,2024,46.0
2024,48,2024-11-25,2024,29.0
2024,49,2024-12-02,2024,47.5
2024,50,2024-12-09,2024,43.5
2024,51,2024-12-16,2024,30.0
2024,52,2024-12-23,2024,37.0
