Year,Week,Date,Entity,M,F
2014,51,2014-12-21,Aguascalientes,0,0
2014,52,2014-12-28,Aguascalientes,0,0
2014,53,2015-01-04,Aguascalientes,0,2
2015,2,2015-01-11,Aguascalientes,0,0
2015,3,2015-01-18,Aguascalientes,0,1
2015,4,2015-01-25,Aguascalientes,0,0
2015,5,2015-02-01,Aguascalientes,0,1
2015,6,2015-02-08,Aguascalientes,0,0
2015,7,2015-02-15,Aguascalientes,0,0
2015,8,2015-02-22,Aguascalientes,0,0
2015,9,2015-03-01,Aguascalientes,0,0
2015,10,2015-03-08,Aguascalientes,0,0
2015,11,2015-03-15,Aguascalientes,0,0
2015,12,2015-03-22,Aguascalientes,0,0
2015,13,2015-03-29,Aguascalientes,0,0
2015,14,2015-04-05,Aguascalientes,0,0
2015,15,2015-04-12,Aguascalientes,0,0
2015,16,2015-04-19,Aguascalientes,0,0
2015,17,2015-04-26,Aguascalientes,0,0
2015,18,2015-05-03,Aguascalientes,0,1
2015,19,2015-05-10,Aguascalientes,0,1
2015,20,2015-05-17,Aguascalientes,0,0
2015,21,2015-05-24,Aguascalientes,0,0
2015,22,2015-05-31,Aguascalientes,0,1
2015,23,2015-06-07,Aguascalientes,0,0
2015,24,2015-06-14,Aguascalientes,0,0
2015,25,2015-06-21,Aguascalientes,0,0
2015,26,2015-06-28,Aguascalientes,1,2
2015,27,2015-07-05,Aguascalientes,0,0
2015,28,2015-07-12,Aguascalientes,0,0
2015,29,2015-07-19,Aguascalientes,0,0
2015,30,2015-07-26,Aguascalientes,0,0
2015,31,2015-08-02,Aguascalientes,1,0
2015,32,2015-08-09,Aguascalientes,0,1
2015,33,2015-08-16,Aguascalientes,0,0
2015,34,2015-08-23,Aguascalientes,0,0
2015,35,2015-08-30,Aguascalientes,0,0
2015,36,2015-09-06,Aguascalientes,0,0
2015,37,2015-09-13,Aguascalientes,1,0
2015,38,2015-09-20,Aguascalientes,0,0
2015,39,2015-09-27,Aguascalientes,0,0
2015,40,2015-10-04,Aguascalientes,0,1
2015,41,2015-10-11,Aguascalientes,0,0
2015,42,2015-10-18,Aguascalientes,0,1
2015,43,2015-10-25,Aguascalientes,0,0
2015,44,2015-11-01,Aguascalientes,0,5
2015,45,2015-11-08,Aguascalientes,0,2
2015,46,2015-11-15,Aguascalientes,0,1
2015,47,2015-11-22,Aguascalientes,0,0
2015,48,2015-11-29,Aguascalientes,0,1
2015,49,2015-12-06,Aguascalientes,0,1
2015,50,2015-12-13,Aguascalientes,0,0
2015,51,2015-12-20,Aguascalientes,0,1
2015,52,2015-12-27,Aguascalientes,0,0
2016,1,2016-01-03,Aguascalientes,0,1
2016,2,2016-01-10,Aguascalientes,1,1
2016,3,2016-01-17,Aguascalientes,0,0
2016,4,2016-01-24,Aguascalientes,0,1
2016,5,2016-01-31,Aguascalientes,0,0
2016,6,2016-02-07,Aguascalientes,0,0
2016,7,2016-02-14,Aguascalientes,0,0
2016,8,2016-02-21,Aguascalientes,0,1
2016,9,2016-02-28,Aguascalientes,0,2
2016,10,2016-03-06,Aguascalientes,0,0
2016,11,2016-03-13,Aguascalientes,0,0
2016,12,2016-03-20,Aguascalientes,1,1
2016,13,2016-03-27,Aguascalientes,1,0
2016,14,2016-04-03,Aguascalientes,0,0
2016,15,2016-04-10,Aguascalientes,1,0
2016,16,2016-04-17,Aguascalientes,0,2
2016,17,2016-04-24,Aguascalientes,0,0
2016,18,2016-05-01,Aguascalientes,1,0
2016,19,2016-05-08,Aguascalientes,0,1
2016,20,2016-05-15,Aguascalientes,6,6
2016,21,2016-05-22,Aguascalientes,5,6
2016,22,2016-05-29,Aguascalientes,1,2
2016,23,2016-06-05,Aguascalientes,0,0
2016,24,2016-06-12,Aguascalientes,1,0
2016,25,2016-06-19,Aguascalientes,0,0
2016,26,2016-06-26,Aguascalientes,2,2
2016,27,2016-07-03,Aguascalientes,1,1
2016,28,2016-07-10,Aguascalientes,0,1
2016,29,2016-07-17,Aguascalientes,1,1
2016,30,2016-07-24,Aguascalientes,0,2
2016,31,2016-07-31,Aguascalientes,0,2
2016,32,2016-08-07,Aguascalientes,0,0
2016,33,2016-08-14,Aguascalientes,2,1
2016,34,2016-08-21,Aguascalientes,0,1
2016,35,2016-08-28,Aguascalientes,0,0
2016,36,2016-09-04,Aguascalientes,0,1
2016,37,2016-09-11,Aguascalientes,0,0
2016,38,2016-09-18,Aguascalientes,1,0
2016,39,2016-09-25,Aguascalientes,0,0
2016,40,2016-10-02,Aguascalientes,0,0
2016,41,2016-10-09,Aguascalientes,0,1
2016,42,2016-10-16,Aguascalientes,0,0
2016,43,2016-10-23,Aguascalientes,0,0
2016,44,2016-10-30,Aguascalientes,0,0
2016,45,2016-11-06,Aguascalientes,1,3
2016,46,2016-11-13,Aguascalientes,0,1
2016,47,2016-11-20,Aguascalientes,1,1
2016,48,2016-11-27,Aguascalientes,0,0
2016,49,2016-12-04,Aguascalientes,0,0
2016,50,2016-12-11,Aguascalientes,1,1
2016,51,2016-12-18,Aguascalientes,1,0
2016,52,2016-12-25,Aguascalientes,0,2
2017,1,2017-01-01,Aguascalientes,0,1
2017,2,2017-01-08,Aguascalientes,0,0
2017,3,2017-01-15,Aguascalientes,0,0
2017,4,2017-01-22,Aguascalientes,0,1
